Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,104.4,0.0,0.0,0.0,0.2,0.0,0.0,6.0,1.0,23.5,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,23.0,38.2,2.0,0.5,0.0,0.0,5.8,2.0,0.0,116.5,118.4,6
2,,Baglan,Satana,98.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,3.0,1.0,0.0,13.0,4.0,2.0,0.0,78,47.9,6
3,,Kalwan,Kalwan,163.0,0.0,9.0,2.0,4.0,10.0,4.0,3.0,0.0,3.0,0.0,6.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,5.0,0.0,0.0,11.0,19.0,10.0,3.0,0.0,0.0,0.0,4.0,4.0,106,98.1,16
4,,Nandgaon,Nandgaon,108.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,80,14.5,5
5,,Surgana,Surgana,550.2,2.0,28.0,13.0,12.0,24.0,39.0,13.0,20.0,3.0,1.0,1.0,7.0,6.0,5.0,11.0,5.0,18.0,4.0,7.0,6.0,10.0,2.0,30.0,52.0,58.0,46.0,78.0,5.0,12.0,7.0,19.0,544,403.3,27
6,,Nasik,Nasik,134.9,0.0,4.0,4.0,6.2,1.0,9.3,1.0,0.0,0.0,0.0,3.0,2.0,7.1,3.0,10.5,0.0,0.0,0.0,3.0,8.5,0.0,0.0,0.0,15.2,7.0,3.0,0.0,3.0,5.0,4.0,3.0,102.8,56.5,17
7,,Dindori,Dindori,182.1,1.0,3.5,4.0,26.5,4.0,4.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,4.5,2.0,0.0,2.0,3.5,2.0,8.0,2.0,0.0,2.0,22.0,4.0,6.0,6.5,0.0,2.0,6.0,8.0,129,12.2,14
8,,Egatpuri,Igatpuri,1057.4,8.0,34.2,39.0,17.0,58.0,64.2,64.0,20.0,7.2,22.2,16.0,11.0,30.0,23.0,30.0,5.0,5.0,7.0,22.0,64.0,23.0,21.0,9.0,22.0,41.0,37.0,22.0,21.0,49.0,43.0,27.0,861.8,130.6,31
9,,Peth,Peth,660.0,5.0,20.0,15.2,77.4,42.2,58.2,18.0,4.0,15.0,4.0,12.0,19.0,2.0,16.0,14.0,2.0,14.0,6.0,23.0,25.0,8.0,3.0,17.0,26.0,40.0,12.0,11.0,5.0,11.0,34.0,17.0,576,699,29
10,,Niphad,Niphad,82.4,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,26.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,72,68.9,7
11,,Sinnar,Sinnar,104.5,0.0,0.0,0.0,9.4,0.0,3.4,0.0,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.6,0.0,0.0,0.0,8.0,0.4,0.0,0.0,0.0,6.8,0.0,6.0,43.8,53.9,6
12,,Yevla,Yeola,81.3,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,66,55,5
13,,Chandwad,Chandwad,120.0,0.0,0.0,0.0,0.0,9.0,1.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,18.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,75,11.4,8
14,,Trimbakeshwar,Tryambakeshwar,660.0,3.0,16.0,11.0,69.0,15.0,37.0,18.0,6.0,12.0,2.0,3.0,8.0,11.0,11.0,51.0,5.0,2.0,6.0,26.0,29.0,17.0,4.0,3.0,21.0,50.0,44.0,13.0,9.0,21.0,14.0,13.0,550,445,29
15,,Devali,Devala,123.6,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,44,35.6,6
