Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,112.3,0.0,0.6,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,1.5,0.1,13.4,0.0,0.0,0.0,0.0,1.5,0.0,1.5,3.2,64.5,1.2,0.0,0.0,108.1,110.8,5
2,,Baglan,Satana,97.6,0.0,0.0,45.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,25.0,101.0,2.0,0.0,0.0,185,82.6,6
3,,Kalwan,Kalwan,223.9,0.0,0.0,16.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,8.0,9.0,27.0,97.0,2.0,0.0,0.0,186,166.8,9
4,,Nandgaon,Nandgaon,111.5,0.0,0.0,16.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,35.0,3.0,0.0,0.0,81,11.4,8
5,,Surgana,Surgana,711.8,2.0,0.0,6.0,17.0,6.0,39.0,3.0,14.0,24.0,8.0,9.0,0.0,11.0,0.0,6.0,3.0,5.0,6.0,3.0,18.0,10.0,17.0,11.0,59.0,76.0,40.0,124.0,128.0,9.0,3.0,1.0,658,294.4,26
6,,Nasik,Nasik,223.5,1.0,0.0,67.0,0.0,1.0,9.3,1.0,4.0,9.0,5.0,7.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,6.0,14.0,21.0,34.1,109.0,5.0,0.0,0.0,295.6,115.2,12
7,,Dindori,Dindori,256.5,1.5,0.0,36.5,5.0,2.0,4.0,0.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,6.0,12.0,65.0,120.0,6.0,1.0,0.0,288,21.5,12
8,,Egatpuri,Igatpuri,1339.8,18.0,4.2,85.2,11.0,18.0,64.2,23.0,23.0,30.0,21.0,12.0,3.0,58.0,22.0,22.2,26.0,36.0,36.0,7.0,6.0,7.2,22.0,15.0,64.0,128.0,92.0,85.0,387.0,107.0,7.0,5.2,1445.2,154.3,31
9,,Peth,Peth,936.4,2.0,4.0,29.0,3.0,5.0,58.2,7.0,12.0,10.7,22.3,9.0,2.0,12.0,2.0,6.0,8.0,42.0,9.0,5.0,5.0,20.0,12.0,10.0,44.0,65.0,12.0,101.0,224.0,17.0,31.0,3.0,792.2,670.8,28
10,,Niphad,Niphad,118.1,0.0,0.0,23.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,29.0,92.0,4.0,0.0,0.0,173,113.4,7
11,,Sinnar,Sinnar,152.6,0.0,0.0,76.8,0.0,0.0,3.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,14.2,10.8,11.4,84.4,4.2,0.0,0.0,208.8,194.4,7
12,,Yevla,Yeola,107.4,0.0,0.0,21.0,15.0,5.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,48.0,3.0,0.0,0.0,121,83.4,8
13,,Chandwad,Chandwad,145.1,0.0,0.0,9.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,16.0,77.0,7.0,0.0,0.0,149,15.9,8
14,,Trimbakeshwar,Tryambakeshwar,936.4,8.0,1.0,11.0,2.0,4.0,37.0,12.0,23.0,38.0,8.0,13.0,5.0,5.0,5.0,18.0,6.0,40.0,12.0,3.0,4.0,3.0,9.0,5.0,36.0,92.0,109.0,41.0,248.0,81.0,6.0,5.0,890,449.3,29
15,,Devali,Devala,198.1,0.0,0.0,20.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,59.0,3.0,0.0,0.0,108,54.5,7
