Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,121.8,1.0,14.0,2.0,10.8,5.2,0.0,10.0,4.0,2.0,21.0,6.0,0.0,0.0,0.0,4.0,1.0,0.4,3.0,0.5,0.0,0.0,47.1,50.4,2.0,0.0,0.0,0.0,0.0,2.2,0.0,186.6,151.2,11
2,,Baglan,Satana,123.4,0.0,0.0,11.0,2.0,1.0,17.0,0.0,19.0,2.0,19.0,9.0,4.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,2.0,56.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,183,116.9,11
3,,Kalwan,Kalwan,156.6,0.0,0.0,33.0,2.0,7.0,18.0,0.0,2.0,0.0,22.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,3.0,0.0,52.0,77.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,246,174.5,12
4,,Nandgaon,Nandgaon,141.0,2.6,0.0,0.0,19.0,6.0,1.0,0.0,3.0,6.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.6,43.4,9
5,,Surgana,Surgana,323.6,0.0,0.0,0.0,4.0,5.0,31.0,70.0,15.0,18.0,41.0,4.0,40.0,17.0,5.0,7.3,2.0,10.0,32.0,33.0,31.0,11.0,99.0,117.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,623.3,384,20
6,,Nasik,Nasik,162.3,0.0,0.0,0.0,0.0,9.0,46.0,7.0,1.0,23.0,30.0,7.0,8.0,8.1,2.0,5.2,3.5,16.0,10.6,11.0,6.2,0.0,152.0,27.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,377.9,264.1,17
7,,Dindori,Dindori,143.1,0.0,6.0,0.0,2.0,6.0,8.0,0.0,0.0,21.0,21.0,3.0,7.0,1.0,4.0,6.0,1.0,5.0,4.0,8.0,9.0,0.0,71.0,39.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,231,49.8,16
8,,Egatpuri,Igatpuri,463.4,-,0.0,11.0,5.0,2.0,33.0,26.0,4.0,18.0,22.0,45.0,73.0,30.0,38.0,65.0,48.0,58.0,103.0,77.0,44.0,4.0,71.0,134.0,66.0,7.0,0.0,0.0,0.0,1.0,0.0,985,292.2,22
9,,Peth,Peth,337.1,0.0,0.0,0.0,0.0,3.0,33.0,15.0,33.0,12.0,49.0,16.0,39.0,15.0,10.0,39.0,13.0,47.0,24.0,40.0,57.0,9.0,60.0,108.0,36.0,4.1,0.0,0.0,0.0,0.0,0.0,662.1,523.8,21
10,,Niphad,Niphad,126.4,0.0,1.0,0.0,64.0,40.5,26.0,0.0,27.0,5.2,16.0,12.0,2.0,0.0,0.0,9.0,0.0,8.0,11.0,8.0,3.0,12.0,142.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,405.7,278.3,16
11,,Sinnar,Sinnar,145.8,0.0,0.0,12.0,13.4,5.4,13.0,4.0,0.0,12.0,1.0,0.0,2.8,0.0,0.0,1.8,0.0,4.0,10.2,10.4,0.0,6.6,57.8,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,162.4,130.5,13
12,,Yevla,Yeola,124.4,0.0,0.0,0.0,17.0,71.0,20.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,180,130.9,9
13,,Chandwad,Chandwad,137.5,24.0,0.0,0.0,21.0,0.0,0.0,0.0,31.0,5.3,4.0,9.0,4.1,2.0,1.4,2.3,1.7,3.0,9.0,3.2,5.2,1.4,88.0,11.4,5.0,0.0,0.0,0.0,0.0,9.1,0.0,241.1,71.5,15
14,,Trimbakeshwar,Tryambakeshwar,337.1,0.0,0.0,65.0,0.0,5.0,21.0,16.0,4.0,23.0,51.0,23.0,76.0,24.0,33.0,44.0,32.0,53.0,90.0,45.0,20.0,10.0,83.0,88.0,59.0,17.0,0.0,0.0,0.0,0.0,0.0,882,659.7,22
15,,Devali,Devala,133.7,0.0,7.0,5.0,0.0,0.0,11.0,0.0,0.0,2.0,7.0,38.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,58.0,39.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,189,141.4,10
