Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,102.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,27.0,0.0,22.0,9.0,0.0,6.0,2.0,3.0,0.0,0.0,94,94.2,8
2,,Baglan,Satana,99.8,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,14.0,0.0,12.0,15.0,18.0,0.0,4.0,2.0,0.0,0.0,79,65.5,7
3,,Kalwan,Kalwan,120.6,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,5.0,0.0,16.0,25.0,4.0,3.0,0.0,0.0,4.0,1.0,86,79.3,8
4,,Nandgaon,Nandgaon,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,0.0,25.0,68.0,50.0,1.0,3.0,0.0,2.0,1.0,1.0,192,121.3,5
5,,Surgana,Surgana,158.3,4.0,20.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,18.0,1.0,0.0,0.0,0.0,28.0,43.0,1.0,7.0,16.0,17.0,214,228.9,11
6,,Nasik,Nasik,93.5,1.0,4.4,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,23.3,1.3,3.0,4.2,23.0,25.0,50.0,0.0,32.0,2.4,1.0,0.0,1.0,179.4,157.1,9
7,,Dindori,Dindori,114.2,0.0,9.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,2.5,0.0,0.0,10.0,20.0,0.0,8.0,0.0,1.3,0.0,4.0,71.8,15.4,7
8,,Egatpuri,Igatpuri,465.0,38.0,26.0,35.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,6.0,11.0,0.0,45.0,20.0,23.0,19.0,26.0,58.0,56.0,47.0,473,181.6,16
9,,Peth,Peth,260.5,48.0,72.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,0.0,0.0,8.0,9.0,0.0,0.0,5.0,16.0,17.0,10.0,277,275.6,10
10,,Niphad,Niphad,100.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,2.0,0.5,0.0,20.0,59.8,0.0,4.0,0.0,8.3,1.2,1.1,101.1,113.2,5
11,,Sinnar,Sinnar,89.3,8.2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,27.4,27.4,0.0,17.0,0.0,7.4,1.0,0.0,97.4,86.7,7
12,,Yevla,Yeola,112.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,8.0,9.0,31.0,44.0,0.0,6.0,7.0,11.0,0.0,0.0,128,110.6,9
13,,Chandwad,Chandwad,115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,72.0,24.2,0.0,15.3,18.0,7.0,0.0,0.0,0.0,0.0,0.0,143.5,55.1,6
14,,Trimbakeshwar,Tryambakeshwar,260.5,32.0,20.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,33.0,0.0,27.0,32.0,5.0,13.0,13.0,14.0,19.0,38.0,293,253.9,15
15,,Devali,Devala,115.4,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,11.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,133,115.3,6
