Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,101.1,46.0,6.0,0.0,0.0,0.0,4.3,0.0,62.2,2.3,23.0,20.2,0.0,0.0,2.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.2,193.4,7
2,,Kalyan,90.6,7.0,34.0,0.0,0.0,0.0,0.0,32.0,33.0,8.0,1.0,38.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158,153.1,7
3,,Murbad,103.2,2.0,18.0,0.0,14.0,0.0,3.0,15.0,55.0,7.0,28.0,75.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,240.5,9
4,,Bhivandi,94.8,6.0,28.0,0.0,0.0,0.0,17.0,0.0,67.0,39.0,3.0,26.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,218.5,8
5,,Shahapur,95.2,20.0,18.0,12.0,0.0,10.0,15.0,10.0,55.0,10.0,20.0,35.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,250,275.9,12
6,,Ulhasnagar,90.6,5.2,24.2,2.4,5.4,0.0,31.0,0.0,20.2,12.4,2.2,20.4,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.8,159.8,8
7,,Ambarnath,90.6,5.2,24.2,2.4,5.4,0.0,31.0,0.0,20.2,12.4,2.2,20.4,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.8,193.6,8
8,Raigadh,Alibag,74.8,7.5,3.5,0.0,0.0,0.5,0.5,0.0,5.2,0.0,18.2,31.3,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.4,84,6
9,,Panwel,94.5,12.0,28.2,0.0,3.2,0.0,8.8,2.8,89.8,13.4,8.4,15.8,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.4,157.8,10
10,,Karjat,131.4,65.0,35.0,19.0,19.4,0.0,10.2,29.0,19.6,2.8,8.4,11.4,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.4,161.5,11
11,,Khalapur,142.0,14.0,65.0,20.0,44.0,0.0,20.0,2.0,25.0,26.0,2.0,31.0,0.0,0.0,50.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,460.3,10
12,,Uran,71.7,7.0,9.0,0.0,0.0,0.0,2.0,0.0,5.0,26.0,4.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,63.5,6
13,,Sudhagad,105.5,11.0,27.0,0.0,0.0,0.0,10.0,0.0,20.0,40.0,45.0,20.0,0.0,21.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,271,260.8,10
14,,Pen,103.9,28.2,18.2,0.0,0.0,0.0,68.2,0.0,11.2,43.2,10.2,0.0,0.0,0.0,0.0,15.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.6,153.2,7
15,,Mahad,128.3,0.0,21.2,34.0,2.5,23.0,0.0,7.0,4.0,58.0,15.5,19.0,24.0,0.0,2.0,0.0,5.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,261.9,226.8,12
16,,Mangaon,115.5,2.0,18.0,0.0,7.0,0.0,2.0,7.0,40.0,10.0,40.0,0.0,0.0,0.0,7.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,216,167.3,11
17,,Roha,129.1,25.0,4.0,0.0,0.0,0.0,30.0,1.0,39.0,0.0,48.0,20.0,0.0,0.0,0.0,25.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,138.6,8
18,,Poladpur,148.6,66.0,91.0,0.0,16.0,0.0,30.0,11.0,28.0,0.0,20.4,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,353.4,328.1,10
19,,Murud,107.7,3.0,21.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,13.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,72.9,6
20,,Shriwardhan,85.0,1.0,29.2,0.0,8.2,51.3,1.0,2.0,67.3,2.0,36.2,5.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.5,169.7,6
21,,Mahasala,120.5,5.0,12.0,0.0,20.0,1.0,16.0,1.0,12.0,0.0,49.0,0.0,0.0,0.0,1.0,19.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,154,133.3,8
22,,Tala,115.5,2.0,18.0,0.0,7.0,0.0,2.0,7.0,40.0,10.0,40.0,0.0,0.0,0.0,7.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,216,126.2,11
23,Ratnagiri,Chiplun,171.2,22.0,29.0,4.0,9.0,0.0,19.0,15.0,74.0,2.0,50.0,0.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,271,271.5,12
24,,Dapoli,99.8,0.6,18.0,0.0,46.0,3.2,4.2,3.0,12.0,8.0,59.0,5.6,0.0,0.0,1.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.2,105.7,10
25,,Khed,155.4,2.0,22.0,0.0,4.0,0.0,37.0,19.0,5.0,0.0,51.0,1.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,199,201,9
26,,Guhagar,99.0,2.0,0.0,12.0,22.0,2.0,0.0,5.0,2.0,5.0,14.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,55.3,7
27,,Mandangad,133.9,5.8,2.6,0.0,18.0,0.0,5.2,3.6,34.6,0.0,47.2,0.0,0.0,0.0,13.0,10.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,108.7,10
28,,Ratnagiri,159.2,0.0,0.0,0.0,3.8,4.5,9.6,15.4,1.8,17.0,16.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,71.3,39,7
29,,Sangameshwar,182.9,45.0,2.0,0.0,68.0,4.0,34.0,26.0,6.0,0.0,49.0,10.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,273,204.6,12
30,,Rajapur,133.4,8.0,0.0,0.0,0.0,17.0,85.0,53.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,103.1,7
31,,Lanja,186.2,10.0,11.6,0.0,4.0,25.0,10.0,25.0,35.0,15.0,16.0,0.0,0.0,0.0,1.0,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.7,186.7,10
32,Sindhudurg,Devgad,101.6,0.0,0.0,0.0,4.0,10.0,0.0,11.0,0.0,4.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,61.6,6
33,,Malwan,90.9,0.0,0.0,0.0,26.0,0.0,0.0,30.0,0.0,15.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,49.7,5
34,,Sawantwadi,187.3,0.0,0.0,0.0,4.4,1.0,43.0,29.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,21.0,0.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.7,0.0,0.0,132.6,126.2,10
35,,Vengurla,105.1,0.0,0.0,0.0,116.0,3.0,3.2,21.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.6,87.8,6
