Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,637.2,24.0,26.0,13.3,8.0,11.1,95.3,183.7,121.3,61.1,9.2,24.0,7.0,21.0,5.2,15.0,32.0,107.0,11.2,2.3,10.0,3.3,2.0,16.0,5.0,20.0,6.0,9.3,10.2,7.1,3.2,3.3,873.1,133.8,29
2,,Kalyan,652.7,40.0,30.0,15.0,8.0,4.0,157.0,211.0,201.0,100.0,11.0,55.0,16.0,40.0,6.0,18.0,143.0,146.0,17.0,7.0,10.0,20.0,2.0,14.0,4.0,10.0,13.0,10.0,11.0,3.0,10.0,0.0,1332,210,29
3,,Murbad,634.3,42.0,52.4,27.8,5.8,2.4,91.2,157.0,219.8,166.8,15.4,62.6,11.6,15.8,11.6,14.4,12.8,90.0,23.0,0.0,4.6,8.4,0.0,5.8,2.8,10.0,7.6,20.8,19.8,7.2,3.4,13.8,1126.6,174.3,28
4,,Bhivandi,646.4,10.0,28.0,14.0,7.0,5.0,103.0,156.0,150.0,92.0,10.0,13.2,13.2,18.0,10.9,19.0,20.0,98.0,31.0,0.0,14.0,13.0,2.3,10.0,5.0,18.7,3.0,19.0,11.0,8.0,4.0,0.0,906.3,128.9,28
5,,Shahapur,703.2,58.0,31.0,37.0,5.0,3.0,76.0,222.0,156.0,70.4,75.0,46.2,19.4,17.0,4.4,54.6,63.0,66.0,11.4,0.0,4.4,9.0,5.0,7.0,6.0,13.0,12.0,15.0,28.0,8.0,4.0,9.4,1136.2,188,30
6,,Ulhasnagar,604.3,42.4,51.2,15.4,4.2,2.2,64.2,83.6,107.5,105.6,21.3,49.6,11.4,17.4,9.2,15.4,32.4,92.4,19.2,0.0,5.6,9.8,4.2,16.6,0.0,22.4,10.2,11.4,10.4,3.2,12.4,3.2,854,141.3,28
7,,Ambarnath,604.3,45.0,38.4,10.6,7.9,4.5,92.0,198.0,190.0,125.6,16.0,57.2,4.0,10.2,8.2,20.0,25.6,96.6,22.0,0.0,8.0,5.2,0.0,10.0,4.0,10.2,18.0,11.0,8.6,0.4,15.0,0.4,1062.6,221.7,27
8,Raigadh,Alibag,479.4,9.5,24.7,0.8,0.5,10.8,79.2,127.8,53.6,22.8,13.3,19.5,9.0,5.3,23.3,4.3,19.3,23.3,11.1,2.4,4.8,10.2,4.8,1.0,18.5,1.7,5.6,2.6,7.8,3.0,9.5,6.0,536,67.8,26
9,,Panwel,790.4,34.4,18.4,8.0,9.0,16.0,85.0,314.4,156.6,93.0,9.6,41.0,23.0,16.2,12.0,33.0,80.0,170.0,13.0,0.0,2.0,17.8,9.0,19.6,12.4,3.0,4.0,15.0,16.4,18.0,19.0,4.2,1273,135.8,29
10,,Karjat,937.6,23.6,56.0,21.2,21.1,17.0,152.7,404.9,219.5,95.3,41.0,66.4,64.4,44.6,35.2,61.0,88.5,230.5,25.1,5.8,7.9,19.6,13.3,20.4,26.4,9.2,12.0,10.5,22.0,30.0,24.0,20.0,1889.1,184.1,31
