Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,334.4,2.3,0.0,7.2,0.0,40.4,9.0,0.2,20.0,19.2,16.0,38.0,0.0,1.2,28.0,53.2,23.2,17.2,12.2,14.4,23.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.1,107.8,14
2,,Kalyan,301.7,4.0,9.0,10.0,5.0,8.0,10.0,8.0,23.0,35.0,40.0,14.0,0.0,1.0,2.0,86.0,26.0,57.0,5.0,11.0,53.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411,118.4,18
3,,Murbad,347.1,6.0,0.0,4.2,10.2,0.0,24.3,0.0,15.0,37.4,74.0,1.0,5.2,7.3,5.3,65.4,8.4,53.4,8.4,18.4,60.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.2,120,16
4,,Bhivandi,337.6,3.0,0.0,26.0,0.0,9.0,16.0,0.0,0.0,53.0,26.0,32.0,0.0,2.0,24.0,71.0,23.0,48.0,8.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421,124.5,14
5,,Shahapur,338.1,1.0,0.0,21.0,0.0,0.0,20.8,14.4,4.0,45.6,22.0,6.6,15.0,14.0,19.0,70.0,24.4,39.2,20.8,16.0,193.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548,181.5,16
6,,Ulhasnagar,301.9,8.1,0.0,56.0,0.0,20.2,15.0,27.0,23.0,32.5,35.5,1.0,3.0,3.0,11.6,69.2,22.0,97.2,13.4,16.2,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.9,166.6,18
7,,Ambarnath,301.9,3.8,0.0,26.0,0.0,13.5,9.2,0.0,6.8,16.2,17.4,0.0,2.6,1.0,5.0,31.2,15.6,44.4,5.0,7.0,19.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.3,72,15
8,Raigadh,Alibag,313.1,4.0,0.0,0.0,0.0,0.0,6.7,2.0,2.4,56.0,39.1,5.2,10.4,1.0,12.0,28.0,28.0,4.0,2.0,8.0,63.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.4,67.8,12
9,,Panwel,402.0,7.0,0.0,15.4,0.0,1.4,17.0,0.0,2.6,43.4,26.2,31.4,8.0,2.0,16.6,52.0,52.0,110.0,3.0,25.6,13.6,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.2,102.3,16
10,,Karjat,436.0,35.0,5.3,55.8,7.0,31.0,39.0,0.0,1.0,40.0,43.0,7.3,4.4,4.6,20.4,36.2,36.2,124.1,13.3,21.1,81.7,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.6,134,19
11,,Khalapur,458.5,90.0,12.0,26.0,60.0,5.4,19.3,0.0,3.0,32.0,46.0,31.0,1.0,4.2,39.1,24.0,24.0,85.0,5.1,8.3,118.4,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.8,215.4,19
12,,Uran,306.3,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,20.0,46.0,10.0,13.0,6.0,7.0,8.0,8.0,57.0,0.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243,53.7,12
13,,Sudhagad,452.1,24.0,0.0,44.0,1.0,0.0,41.0,0.0,0.0,32.0,11.0,9.0,23.0,9.0,63.0,29.0,29.0,34.0,5.0,13.0,144.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520,127.7,16
14,,Pen,407.3,17.4,0.0,0.0,0.0,0.0,63.4,3.2,2.4,73.1,11.2,13.2,26.4,7.2,19.4,27.2,27.2,13.2,5.2,19.2,63.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.3,95.9,16
15,,Mahad,414.1,23.2,0.0,20.0,11.0,0.0,3.6,66.0,4.0,65.0,19.0,11.3,19.1,17.2,35.9,26.0,26.0,53.1,6.1,0.0,66.2,122.2,13.5,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,622.4,160.8,20
16,,Mangaon,387.1,56.0,0.0,12.0,7.5,0.0,5.2,1.0,22.0,52.0,36.0,39.2,43.2,10.0,81.0,16.1,16.1,46.0,4.0,1.2,104.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.5,152.7,17
17,,Roha,366.3,5.0,4.0,3.0,2.0,0.0,91.2,0.0,3.0,54.3,27.2,17.0,1.4,12.2,51.0,22.4,22.4,15.4,2.0,1.2,275.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.9,147.9,14
18,,Poladpur,412.4,34.0,14.0,9.0,25.0,5.0,4.0,26.0,44.0,48.0,21.0,14.0,18.0,12.0,33.0,30.0,30.0,55.0,12.0,2.0,36.0,110.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,176.6,21
19,,Murud,348.8,5.0,0.0,2.0,0.0,0.0,0.0,19.0,28.0,54.0,104.0,9.0,11.2,33.3,33.0,10.1,10.1,19.0,2.4,0.0,40.0,2.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,383.3,113.7,13
20,,Shriwardhan,337.1,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,69.0,60.0,75.0,183.0,10.0,45.0,18.0,18.0,15.0,0.0,2.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532,134.9,12
21,,Mahasala,394.3,4.2,9.4,13.2,0.0,0.0,0.0,8.0,12.0,94.0,25.4,7.0,31.0,9.2,74.2,15.0,15.0,14.2,3.2,0.0,8.2,8.6,2.6,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,359.4,92.8,19
22,,Tala,387.1,4.0,36.0,4.0,0.0,0.0,2.0,0.0,0.0,38.0,78.0,6.0,14.0,45.0,61.0,24.0,24.0,14.0,5.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459,106.9,15
23,Ratnagiri,Chiplun,429.5,5.0,16.0,29.0,10.0,2.0,57.0,22.0,5.0,72.0,41.0,21.0,62.0,33.0,28.0,30.0,28.0,61.0,58.0,2.0,42.0,47.0,133.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824,196.9,21
24,,Dapoli,418.5,1.6,0.0,18.2,0.0,0.0,0.0,16.6,1.8,69.2,51.0,17.0,125.6,28.2,77.2,83.2,48.0,18.0,9.6,2.0,30.4,2.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,150.4,14
25,,Khed,409.6,7.0,2.0,36.0,1.0,0.0,0.0,34.0,0.0,52.0,65.0,45.0,70.0,28.0,58.0,40.0,32.0,27.0,32.0,3.0,74.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656,99.7,17
26,,Guhagar,657.9,0.0,0.0,9.0,0.0,0.0,7.0,28.0,1.0,50.0,55.0,21.0,200.0,21.0,52.0,31.0,15.0,20.0,18.0,3.0,26.0,1.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,629,143.1,16
27,,Mandangad,439.6,9.6,0.6,13.2,0.8,0.0,8.4,0.0,1.2,52.6,25.2,18.6,59.2,17.8,39.2,71.2,30.2,60.8,11.6,2.0,25.8,49.4,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.8,146.4,16
28,,Ratnagiri,347.5,3.2,7.5,3.8,0.3,0.0,3.6,12.5,7.0,68.3,60.4,171.0,173.8,43.0,22.6,22.5,45.7,64.3,10.7,5.6,10.0,4.3,2.5,0.0,0.0,4.6,0.0,0.0,0.0,0.4,0.0,747.6,174,20
29,,Sangameshwar,429.7,62.0,21.0,2.0,25.0,0.0,5.0,3.0,11.0,38.0,42.0,75.0,158.0,70.0,55.0,43.0,51.0,62.0,53.0,12.0,27.0,67.0,66.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969,269.4,21
30,,Rajapur,359.7,3.0,3.0,49.0,0.0,0.0,4.0,7.0,4.0,21.0,76.0,227.0,107.0,58.0,29.0,56.0,29.0,69.0,20.0,14.0,31.0,32.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847,219.4,21
31,,Lanja,386.0,15.0,5.0,55.0,1.0,0.0,4.0,25.0,11.0,28.0,36.0,110.0,137.0,54.0,46.0,20.0,34.0,52.0,44.0,16.0,32.0,18.0,11.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,767,268.6,21
32,Sindhudurg,Devgad,285.6,0.0,10.0,8.0,0.0,0.0,90.0,7.0,21.0,38.0,86.0,232.0,41.0,70.0,21.0,9.0,16.0,102.0,29.0,8.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818,318.8,17
33,,Malwan,256.6,0.0,4.0,3.0,0.0,0.0,8.0,30.0,27.0,81.0,168.0,174.0,37.0,75.0,28.0,8.0,8.0,143.0,26.0,8.0,12.0,0.0,25.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,869,242.9,19
34,,Sawantwadi,357.8,3.0,40.0,10.0,0.0,0.0,0.0,10.0,40.0,69.0,49.0,102.0,43.0,32.0,20.0,22.0,30.0,88.0,47.0,25.0,13.0,0.9,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.9,223.7,19
35,,Vengurla,295.5,0.0,8.0,0.0,0.0,0.0,0.0,19.6,28.0,22.4,44.4,53.4,16.0,29.6,12.2,14.0,25.0,74.0,18.0,17.0,2.6,4.2,1.8,5.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,405.4,104.6,18
36,,Kankawali,387.6,4.0,8.0,36.0,0.0,0.0,0.0,9.0,12.0,10.0,29.0,102.0,6.0,46.0,22.0,12.0,8.0,54.0,8.0,38.0,3.0,0.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467,161.4,19
37,,Kudal,289.4,4.0,30.0,0.0,0.0,0.0,0.0,22.0,30.0,21.0,70.0,130.0,40.0,35.0,27.0,22.0,17.0,90.0,39.0,10.0,30.0,10.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650,85.4,19
38,,Vaibhavwadi,761.2,73.0,4.0,27.0,102.0,13.0,0.0,0.0,22.0,30.0,27.0,105.0,133.0,100.0,56.0,11.0,27.0,76.0,74.0,37.0,5.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965,269.7,20
39,,Dodamarg,357.8,0.0,68.0,0.0,1.0,0.0,0.0,0.0,86.0,12.0,36.0,65.0,29.0,75.0,29.0,26.0,46.0,60.0,46.0,13.0,2.0,20.0,20.0,24.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,690,232.2,18
40,Palghar,Vasai,297.1,0.0,0.0,0.0,0.0,7.0,75.0,7.0,11.0,6.0,49.0,7.0,0.0,3.0,24.0,25.0,50.0,81.0,1.0,19.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405,111.7,14
