Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,961.6,4.4,5.6,24.0,5.0,1.2,2.0,32.0,30.0,91.4,39.0,39.0,73.0,31.2,182.0,103.0,1.2,55.6,54.4,27.4,43.4,2.8,2.0,5.0,7.2,6.4,3.8,36.4,15.6,64.0,253.0,93.0,1334,130.3,27
2,,Kalyan,1023.4,0.0,7.0,7.0,2.0,18.0,10.0,2.0,20.0,74.0,65.0,25.0,65.0,23.0,175.0,87.0,1.0,43.6,46.2,36.0,31.0,1.0,0.0,5.0,22.0,2.0,10.0,5.0,29.0,118.0,111.0,71.0,1111.8,114.7,24
3,,Murbad,968.9,0.0,0.0,6.1,0.0,24.2,1.3,41.3,60.0,47.2,58.2,56.2,85.4,63.3,91.0,22.2,2.3,45.5,47.8,58.1,47.2,1.2,1.0,11.3,5.0,21.0,1.0,1.0,11.3,70.0,54.2,27.2,961.5,99.6,22
4,,Bhivandi,965.8,0.0,5.0,3.0,0.0,4.0,0.0,13.0,20.0,85.0,20.0,40.0,75.0,55.0,140.0,120.0,0.0,39.7,41.9,60.0,31.0,1.0,1.0,5.0,25.0,10.0,5.0,10.0,12.0,90.0,120.0,110.0,1141.6,103.6,25
5,,Shahapur,1102.4,2.0,6.0,2.0,7.0,5.0,0.0,10.0,53.0,65.0,70.0,53.0,44.0,48.0,62.0,27.0,0.4,34.0,35.2,52.0,40.0,9.0,6.0,3.0,7.0,5.0,1.2,0.4,8.0,102.4,83.0,53.0,893.6,89.2,25
6,,Ulhasnagar,1001.4,0.0,4.0,36.0,0.0,0.0,5.4,2.0,28.0,88.0,55.0,26.0,57.6,26.0,189.0,65.0,0.0,47.2,50.8,55.0,40.0,2.0,0.0,2.0,30.0,15.0,11.0,2.0,26.0,94.0,98.0,58.0,1113,111.1,22
7,,Ambarnath,1001.4,0.0,0.0,30.2,1.0,0.0,0.0,3.6,20.0,65.2,50.6,27.8,55.2,46.0,145.8,35.4,3.4,42.4,46.4,39.2,25.6,7.2,0.0,2.0,36.6,8.4,5.0,3.6,15.0,80.6,56.6,52.2,905,125.2,24
8,Raigadh,Alibag,723.0,0.0,4.3,17.8,45.0,10.0,0.0,91.0,108.0,45.0,32.0,16.0,1.8,63.0,164.0,122.0,29.0,114.0,85.1,34.0,57.0,2.2,6.0,10.0,1.0,2.0,77.8,29.0,24.4,65.0,61.2,168.1,1485.7,131.6,25
9,,Panwel,1128.9,6.0,1.6,15.4,7.0,0.0,0.0,39.4,114.2,89.0,35.6,20.4,49.2,104.0,127.0,68.0,3.0,70.0,89.5,62.4,66.6,8.0,3.2,30.0,1.0,11.0,19.6,48.0,28.0,94.4,315.0,101.4,1627.9,118.1,27
10,,Karjat,1378.2,0.0,2.0,5.0,0.0,15.7,1.0,8.8,94.5,65.3,60.0,95.5,40.8,108.8,118.5,41.6,35.1,58.5,107.0,147.5,91.0,18.5,10.0,14.0,18.5,31.5,4.2,11.5,17.0,91.5,95.3,44.0,1452.6,111.5,27
