Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,1.7,-,-,-,-,-,-,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
2,,Kalyan,1.3, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
3,,Murbad,3.5, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
4,,Bhivandi,1.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
5,,Shahapur,1.7, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
6,,Ulhasnagar,1.3, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
7,,Ambarnath,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,10,555.6,1
8,Raigadh,Alibag,1.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
9,,Panwel,1.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
10,,Karjat,2.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
11,,Khalapur,1.5, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
12,,Uran,1.1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
13,,Sudhagad,2.3, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
14,,Pen,1.5, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
15,,Mahad,7.3, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
16,,Mangaon,5.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
17,,Roha,3.1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
18,,Poladpur,5.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
19,,Murud,0.1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
20,,Shriwardhan,0.1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
21,,Mahasala,4.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
22,,Tala,5.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
23,Ratnagiri,Chiplun,9.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
24,,Dapoli,6.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
25,,Khed,5.5, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
26,,Guhagar,4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.4, - , - , - , - , - , - , - , - , - , - , - , - , - ,5.4,77.1,1
27,,Mandangad,7.0,-,-,-,-,-,-,-,-,-,1.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1,27.8,0
28,,Ratnagiri,3.6, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
29,,Sangameshwar,10.3, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
30,,Rajapur,4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0, - , - , - , - , - , - , - , - , - , - , - , - , - ,2,16.8,0
31,,Lanja,11.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
32,Sindhudurg,Devgad,5.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
33,,Malwan,7.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
34,,Sawantwadi,9.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7, - , - , - , - , - , - , - , - , - , - , - , - ,2.7,35.1,1
35,,Vengurla,7.7, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
36,,Kankawali,6.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0, - , - , - , - , - , - , - , - , - , - , - , - ,6,89.6,1
37,,Kudal,6.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.5,15.0, - , - , - , - , - , - , - , - , - , - , - , - ,17.5,216,1
38,,Vaibhavwadi,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.7, - , - , - , - , - , - , - , - , - , - , - , - ,3.7,38.9,1
39,,Dodamarg,9.5, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
40,Palghar,Vasai,1.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
41,,Wada,1.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
42,,Dahanu,1.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
43,,Palghar,2.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
44,,Javhar,0.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
45,,Mokhada,3.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
46,,Talasari,1.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
47,,Vikramgad,0.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
48,Nasik,Malegaon,3.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
49,,Baglan,4.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
50,,Kalwan,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,14,274.5,1
51,,Nandgaon,5.1,-,-,-,-,-,-,-,-,-,-,-,-,-,2.5, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2.5,65.8,0
52,,Surgana,3.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
53,,Nasik,7.7,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
54,,Dindori,8.5,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,9,92.8,1
55,,Egatpuri,9.7, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
56,,Peth,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0.2,3.1,0
57,,Niphad,6.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
58,,Sinnar,7.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
59,,Yevla,3.2,-,-,-,-,-,-,-,-,-,-,-,1.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1.8,31,0
60,,Chandwad,5.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
61,,Trimbakeshwar,7.7,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,3.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,9,147.5,2
62,,Devali,6.1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
63,Dhule,Dhule,1.7,-,-,-,-,-,-,-,-,-,-,1.3,6.4,6.0,3.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,16.7,407.3,3
64,,Sakri,4.1,-,-,-,-,-,-,-,-,-,-,0.3,8.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,9.2,541.2,1
65,,Shirpur,1.7,-,-,-,-,-,-,-,-,-,-,13.4,2.1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,15.5,704.5,1
66,,Shindkheda,2.2,-,-,-,-,-,-,-,-,-,-,9.6,6.8, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,16.4,863.2,2
67,Nandurbar,Nandurbar,1.9,-,-,-,-,-,-,-,-,-,-,0.4,5.4,0.0, - ,0.6,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,6.4,320,1
68,,Navapur,2.0,-,-,-,-,-,-,-,-,-,-,0.4,0.0,3.0, - ,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,3.4,200,1
69,,Shahada,1.7,-,-,-,-,-,-,-,-,-,-,0.0,1.4,4.1, - ,6.8,1.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,13.3,1023.1,2
70,,Taloda,1.3,-,-,-,-,-,-,-,-,-,-,0.0,0.0,5.8, - ,0.8,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,6.6,600,1
71,,Akrani,1.1,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2.0, - ,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2,2000,0
72,,Akkalkua,0.1,-,-,-,-,-,-,-,-,-,-,0.0,0.0,10.8, - ,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,10.8,469.6,1
