Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,534.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.4,0.0,6.1,0.0,0.0,3.9,0.0,10.1,69.8,19.0,3.6,76.7,107.1,110.0,55.0,70.4,58.4,8.6,604.8,126.8,14
2,,Kalyan,476.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.2,0.0,8.1,11.7,27.0,0.1,24.1,35.0,78.8,50.2,55.0,13.6,3.4,309.1,81.7,10
3,,Murbad,378.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,1.0,18.4,3.0,33.5,0.0,1.0,3.8,23.8,21.0,6.1,12.0,3.7,127.7,27.1,9
4,,Bhivandi,471.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.3,0.0,0.0,0.3,0.0,0.0,0.8,5.1,2.0,6.3,0.5,18.4,43.1,69.8,27.6,52.7,28.6,4.7,262.5,63.6,9
5,,Shahapur,412.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,2.1,0.0,0.0,11.4,0.5,16.1,0.6,11.2,0.0,2.6,21.3,43.4,42.2,29.6,19.2,5.5,207.8,45.5,10
6,,Ulhasnagar,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,22.0,28.2,0.0,17.2,29.8,67.8,44.4,63.6,24.6,3.4,316,69.1,11
7,,Ambarnath,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,1.0,0.0,0.0,4.9,0.3,10.1,10.3,12.8,0.3,7.7,17.4,36.6,29.2,38.4,26.0,6.2,202.2,37.4,11
8,Raigadh,Alibag,540.8,0.0,0.0,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,32.6,4.9,1.6,0.7,0.3,0.3,0.1,5.6,5.7,23.3,22.7,6.3,2.4,48.3,101.6,154.3,34.3,71.4,99.0,27.4,643.4,113.4,14
9,,Panwel,567.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.6,0.5,8.7,0.9,19.5,4.5,23.9,61.9,118.8,26.0,21.1,27.8,12.7,328.7,59.9,10
10,,Karjat,548.7,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,6.0,2.9,54.1,3.4,5.0,28.7,65.7,29.0,13.3,30.3,22.7,263.8,46.8,11
